project_id,sov_line_id,scheduled_value,total_billed,pct_complete,pct_billed,billing_gap,retention_held,total_co_amount,underbilling_flag,overbilling_flag,closeout_flag,retention_flag,true_closeout_issue,co_flag,underbilling_points,overbilling_points,closeout_points,co_points,risk_score
PRJ-2018-001,PRJ-2018-001-SOV-01,2477800,2477800,100.0,100.0,0.0,3802240.0,1033800.0,False,False,False,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-02,1005200,1005200,100.0,100.0,0.0,3802240.0,1346700.0,False,False,False,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-03,3817300,3813600,99.2777233616376,99.90307285253975,-0.6253494909021526,3802240.0,737000.0,False,False,False,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-04,5146300,5137800,85.73774521285814,99.8348327924917,-14.097087579633552,3802240.0,0.0,False,True,False,True,False,0,0,1,0,0,1
PRJ-2018-001,PRJ-2018-001-SOV-05,3589000,3584500,96.87904534757841,99.87461688492616,-2.995571537347743,3802240.0,925200.0,False,False,False,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-06,2067500,2065000,100.0,99.87908101571948,0.12091898428052161,3802240.0,1424900.0,False,False,True,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-07,4421000,4416600,100.0,99.90047500565483,0.09952499434517392,3802240.0,0.0,False,False,True,True,False,0,0,0,0,0,0
PRJ-2018-001,PRJ-2018-001-SOV-08,3072900,3069400,88.86588514018537,99.88610107715839,-11.020215936973017,3802240.0,586700.0,False,True,False,True,False,1,0,1,0,3,4
PRJ-2018-001,PRJ-2018-001-SOV-09,3641000,3638300,100.0,99.92584454820104,0.07415545179895844,3802240.0,533900.0,False,False,True,True,False,1,0,0,0,3,3
PRJ-2018-001,PRJ-2018-001-SOV-10,2605000,2543200,100.0,97.62763915547025,2.3723608445297515,3802240.0,0.0,False,False,True,True,False,0,0,0,0,0,0
