project_id,sov_line_id,project_name,gc_name,realized_margin,bid_margin,margin_erosion,total_variance,labor_overrun_ratio,material_overrun_ratio,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,scheduled_value,total_estimated_budget,budget_coverage,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,estimated_budget,actual_total_cost,total_labor_cost,total_hours_st,total_hours_ot,total_hours,unique_employees,material_total_cost,total_billed,pct_complete,pct_billed,billing_gap,retention_held,total_co_amount,rfi_count,risk_score,underbilling_flag,overbilling_flag,closeout_flag,retention_flag,true_closeout_issue,key_assumptions
PRJ-2018-001,PRJ-2018-001-SOV-01,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-2477978.27,0.15314883932912007,0.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,2477800,43307594.728,1.132,24809,1645600,1084400,0,0,2730000.0,252021.73,252021.73,2758,156,2914,340,0.0,2477800,100.0,100.0,0.0,3802240.0,1033800.0,49,3,False,False,False,True,False,Clear site access; no coordination delays; standard PM staffing
PRJ-2018-001,PRJ-2018-001-SOV-02,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-1015123.89,0.14055400821518485,0.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,1005200,43307594.728,1.132,11378,754700,366500,0,0,1121200.0,106076.11,106076.11,1110,80,1190,141,0.0,1005200,100.0,100.0,0.0,3802240.0,1346700.0,49,3,False,False,False,True,False,Submittals prepared in-house; standard review cycles
PRJ-2018-001,PRJ-2018-001-SOV-03,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-2697336.3,0.052375191897654584,0.98,38264000,2018-01-06,2019-04-20,0.1,Net 30,3817300,43307594.728,1.132,42424,2814000,1530400,0,0,4840988.235,1647063.7,147383.79,1524,122,1646,192,1499679.91,3813600,99.9,99.90307285253976,-0.0030728525397449,3802240.0,737000.0,49,3,False,False,False,True,False,70% shop fabrication; 30% field fab; standard material availability
PRJ-2018-001,PRJ-2018-001-SOV-04,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-2895361.54,0.04211456252296796,0.98,38264000,2018-01-06,2019-04-20,0.1,Net 30,5146300,43307594.728,1.132,45127,2993300,1400200,0,0,5141825.0,1498138.46,126061.52,1430,78,1508,181,1372076.94,5137800,99.8,99.8348327924917,-0.0348327924916986,3802240.0,0.0,49,0,False,False,False,True,False,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2018-001,PRJ-2018-001-SOV-05,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-2128656.21,0.06039292368326765,0.98,38264000,2018-01-06,2019-04-20,0.1,Net 30,3589000,43307594.728,1.132,33661,2232800,1531200,0,0,4012088.889,1635343.79,134845.32,1514,60,1574,191,1500498.47,3584500,99.9,99.87461688492616,0.0253831150738506,3802240.0,925200.0,49,3,False,False,False,True,False,Copper pricing based on current market rates
PRJ-2018-001,PRJ-2018-001-SOV-06,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-1157251.83,0.05024727803251355,0.98,38264000,2018-01-06,2019-04-20,0.1,Net 30,2067500,43307594.728,1.132,18084,1199500,901500,0,0,2234277.778,943748.17,60271.61,614,50,664,79,883476.56,2065000,99.9,99.87908101571948,0.0209189842805272,3802240.0,1424900.0,49,3,False,False,False,True,False,Refrigerant pricing per current market; lineset routing direct
PRJ-2018-001,PRJ-2018-001-SOV-07,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,2716418.73,0.06733261725340231,2.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,4421000,43307594.728,1.132,13404,889100,0,3618300,0,4554194.737,3605518.73,59865.43,682,58,740,86,3545653.3,4416600,99.9,99.90047500565484,-0.0004750056548203,3802240.0,0.0,49,0,False,False,False,True,False,Equipment selections per approved substitution list; long lead items ordered at NTP
PRJ-2018-001,PRJ-2018-001-SOV-08,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,1561274.08,0.07554245679012346,2.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,3072900,43307594.728,1.132,12212,810000,0,2357400,0,3210031.579,2371274.08,61189.39,664,52,716,82,2310084.69,3069400,99.9,99.8861010771584,0.0138989228416193,3802240.0,586700.0,49,3,False,False,False,True,False,Chiller/boiler selections by owner; installation productivity assumes clear access
PRJ-2018-001,PRJ-2018-001-SOV-09,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,1980807.7800000003,0.13978452368926156,2.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,3641000,43307594.728,1.132,14924,989900,0,2890300,0,3990188.889,2970707.7800000003,138372.7,1496,110,1606,183,2832335.08,3638300,99.9,99.92584454820104,-0.0258445482010358,3802240.0,533900.0,49,3,False,False,False,True,False,VAV/FCU counts per schedule; BACnet integration by controls sub
PRJ-2018-001,PRJ-2018-001-SOV-10,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.23186807443027388,-0.306340515889609,-1645748.76,0.04515876955652277,0.98,38264000,2018-01-06,2019-04-20,0.1,Net 30,2605000,43307594.728,1.132,25633,1700200,1113800,0,0,3114035.294,1168251.24,76778.94,796,54,850,101,1091472.3,2543200,97.6,97.62763915547023,-0.0276391554702541,3802240.0,0.0,49,0,False,False,False,True,False,DDC installation per controls contractor scope; point count per I/O schedule
