project_id,sov_line_id,project_name,gc_name,realized_margin,bid_margin,margin_erosion,total_variance,labor_overrun_ratio,material_overrun_ratio,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,scheduled_value,total_estimated_budget,budget_coverage,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,estimated_budget,actual_total_cost,total_labor_cost,total_hours_st,total_hours_ot,total_hours,unique_employees,material_total_cost,total_billed,pct_complete,pct_billed,billing_gap,retention_held,total_co_amount,rfi_count,risk_score,underbilling_flag,overbilling_flag,closeout_flag,retention_flag,true_closeout_issue,key_assumptions,anomaly_flag,flag_reason
PRJ-2018-001,PRJ-2018-001-SOV-12,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,0.5382085903198829,0.2318680744302738,-0.306340515889609,-704847.3899999999,0.0596886967987693,2.0,38264000,2018-01-06,2019-04-20,0.1,Net 30,2197100,43307594.728,1.132,20581,1365100,0,0,1793700,3158800.0,660252.6100000001,81481.04,872,66,938,112,578771.5700000001,2143200,97.5,97.54676619179828,-0.0467661917982837,3802240.0,1497000.0,49,4,False,True,False,True,False,Insulation by specialty sub; pricing based on current bid,1,"material_overrun, high_co_amount"
PRJ-2018-003,PRJ-2018-003-SOV-10,Las Vegas Elementary Campus - Climate Systems,Turner Construction,0.4317011531638083,0.2625749767677621,-0.1691261763960462,-419720.28,0.1996474582924435,0.962,11837000,2018-01-12,2019-06-24,0.1,Net 30,704900,13416964.224,1.133,7539,509500,314000,0,0,913411.765,403779.72,101720.38,1122,66,1188,141,302059.33999999997,688400,97.7,97.65924244573698,0.040757554263024,1176550.0,0.0,48,2,True,False,False,True,False,DDC installation per controls contractor scope; point count per I/O schedule,0,underbilling
PRJ-2018-004,PRJ-2018-004-SOV-04,Houston Data Center - Precision Cooling Systems,JE Dunn,0.4365645111843864,0.2841368861955262,-0.1524276249888601,-671008.5,0.1770346976175931,1.009,11221000,2018-03-02,2019-07-07,0.1,Net 30,1144000,12164288.674,1.084,12703,818500,287900,0,0,1311025.0,435391.5,144902.9,1584,114,1698,198,290488.6,1140100,99.7,99.6590909090909,0.0409090909090963,1114320.0,-107900.0,55,2,True,False,False,True,False,Productivity assumes 70% in accessible ceiling; 30% open areas,0,underbilling
PRJ-2018-004,PRJ-2018-004-SOV-10,Houston Data Center - Precision Cooling Systems,JE Dunn,0.4365645111843864,0.2841368861955262,-0.1524276249888601,-528479.13,0.1588921202531645,1.009,11221000,2018-03-02,2019-07-07,0.1,Net 30,901000,12164288.674,1.084,9808,632000,351200,0,0,1094729.412,454720.87,100419.82,1088,86,1174,140,354301.05,877200,97.4,97.35849056603772,0.0415094339622754,1114320.0,258300.0,55,5,True,False,False,True,False,DDC installation per controls contractor scope; point count per I/O schedule,0,underbilling
PRJ-2018-004,PRJ-2018-004-SOV-12,Houston Data Center - Precision Cooling Systems,JE Dunn,0.4365645111843864,0.2841368861955262,-0.1524276249888601,-112204.68,0.2451403586206896,2.0,11221000,2018-03-02,2019-07-07,0.1,Net 30,511100,12164288.674,1.084,5626,362500,0,0,405300,767800.0,250295.32,88863.38,962,60,1022,121,161431.94,499100,97.7,97.65212287223636,0.0478771277636411,1114320.0,0.0,55,2,True,False,False,True,False,Insulation by specialty sub; pricing based on current bid,1,"material_overrun, underbilling"
PRJ-2018-004,PRJ-2018-004-SOV-14,Houston Data Center - Precision Cooling Systems,JE Dunn,0.4365645111843864,0.2841368861955262,-0.1524276249888601,-202540.87,0.1989465928945835,0.0,11221000,2018-03-02,2019-07-07,0.1,Net 30,247500,12164288.674,1.084,2665,171700,65000,0,0,245736.842,34159.13,34159.13,364,26,390,47,0.0,242200,97.9,97.85858585858584,0.0414141414141511,1114320.0,0.0,55,2,True,False,False,True,False,Startup includes 2 weeks of system commissioning support,0,underbilling
PRJ-2018-005,PRJ-2018-005-SOV-08,Phoenix Senior Living - HVAC Upgrade,Skanska USA,0.4227837428571429,0.3139220779220779,-0.1088616649350649,434482.55999999994,0.2580669525731584,2.0,7700000,2018-01-03,2018-12-18,0.1,Net 30,823100,7855785.337,1.02,3266,198200,0,543000,0,751631.579,632682.5599999999,51148.87,570,30,600,74,581533.69,819400,99.6,99.5504798930871,0.0495201069128938,763960.0,-20500.0,36,2,True,False,False,True,False,Chiller/boiler selections by owner; installation productivity assumes clear access,1,"material_overrun, underbilling"
PRJ-2018-005,PRJ-2018-005-SOV-13,Phoenix Senior Living - HVAC Upgrade,Skanska USA,0.4227837428571429,0.3139220779220779,-0.1088616649350649,-81902.56,0.2309618779342722,0.0,7700000,2018-01-03,2018-12-18,0.1,Net 30,153200,7855785.337,1.02,1756,106500,0,0,114400,220900.0,24597.44,24597.44,242,18,260,31,0.0,149000,97.3,97.25848563968668,0.0415143603133145,763960.0,550600.0,36,5,True,False,False,True,False,TAB by certified balancing contractor; one mobilization assumed,1,underbilling
PRJ-2018-006,PRJ-2018-006-SOV-14,Kansas City Hospital - Mechanical Systems Renovation,JE Dunn,0.3703677896204801,0.3087658133280207,-0.0616019762924594,-179579.89,0.2578012148337596,0.0,10039000,2018-02-17,2019-08-18,0.1,Net 30,254000,10510976.35,1.047,2540,156400,63500,0,0,228131.579,40320.11,40320.11,424,22,446,56,0.0,248300,97.8,97.75590551181102,0.0440944881889748,997210.0,235400.0,43,5,True,False,False,True,False,Startup includes 2 weeks of system commissioning support,1,underbilling
PRJ-2018-007,PRJ-2018-007-SOV-03,Portland Corporate Campus - HVAC Systems,Turner Construction,0.5343325308010975,0.2417334696293108,-0.2925990611717867,-745568.24,0.1333850284784377,1.0,18587000,2018-03-31,2019-01-05,0.1,Net 30,1429700,20316778.422,1.093,13232,860300,420200,0,0,1432317.647,534931.76,114751.14,1228,64,1292,153,420180.62,1421900,99.5,99.4544309995104,0.0455690004896069,1843510.0,99600.0,36,5,True,False,False,True,False,70% shop fabrication; 30% field fab; standard material availability,1,underbilling
